track,comparison,left_config,right_config,pred_len,seed,left_mse,right_mse,delta_mse,relative_mse_delta_pct,mse_winner,left_mae,right_mae,delta_mae,relative_mae_delta_pct,mae_winner
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,336,2023,0.475750476121902,0.473091572523117,-0.0026589035987854,-0.558886166643395,right,0.449468046426773,0.447983652353287,-0.00148439407348633,-0.330255751279121,right
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,720,2021,0.48985156416893,0.497598528862,0.00774696469306946,1.58149228454803,left,0.474126189947128,0.477667510509491,0.00354132056236267,0.746915196301976,left
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,720,2022,0.497850179672241,0.495793014764786,-0.00205716490745544,-0.413209634434555,right,0.478335410356522,0.479694247245789,0.00135883688926697,0.284076164935014,left
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,720,2023,0.502384185791016,0.499050498008728,-0.0033336877822876,-0.66357339195274,right,0.476865470409393,0.474363297224045,-0.00250217318534851,-0.524712595189661,right
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,96,2021,0.377866417169571,0.373896032571793,-0.00397038459777832,-1.05073761979662,right,0.397137433290482,0.39574533700943,-0.00139209628105164,-0.35053262784055,right
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,96,2022,0.377362430095673,0.396558165550232,0.0191957354545593,5.08681679034467,left,0.396721929311752,0.404853612184525,0.00813168287277222,2.04971852372249,left
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,96,2023,0.378625839948654,0.375583410263062,-0.00304242968559265,-0.803545179590817,right,0.398094117641449,0.395928382873535,-0.00216573476791382,-0.544025814986904,right
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,192,2021,0.451054006814957,0.453311562538147,0.00225755572319031,0.500506743999829,left,0.433939188718796,0.434914499521255,0.000975310802459717,0.224757483955141,left
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,192,2022,0.430685788393021,0.454370439052582,0.0236846506595612,5.49928771690693,left,0.431487023830414,0.438576906919479,0.00708988308906555,1.64312776456797,left
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,192,2023,0.42453870177269,0.426603674888611,0.00206497311592102,0.486403973842334,left,0.4284488260746,0.430846780538559,0.00239795446395874,0.559682818115883,left
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,336,2021,0.489607930183411,0.497672915458679,0.00806498527526855,1.64723338370916,left,0.457280278205872,0.462675034999847,0.00539475679397583,1.17974840619456,left
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,336,2022,0.470833033323288,0.470789134502411,-4.38988208770752e-05,-0.00932364931305339,right,0.442294389009476,0.44365006685257,0.00135567784309387,0.306510296485997,left
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,336,2023,0.473850965499878,0.473091572523117,-0.000759392976760864,-0.160259877482736,right,0.44828525185585,0.447983652353287,-0.000301599502563477,-0.067278479788235,right
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,720,2021,0.49070817232132,0.497598528862,0.00689035654067993,1.40416584221224,left,0.475344121456146,0.477667510509491,0.00232338905334473,0.488780432632125,left
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,720,2022,0.489835500717163,0.495793014764786,0.00595751404762268,1.21622749655759,left,0.4759541451931,0.479694247245789,0.0037401020526886,0.785811425420236,left
Track B,C_minus_D,D_fixed_control_a0p05,C_saema_selected_a0p05,720,2023,0.494191348552704,0.499050498008728,0.00485914945602417,0.983252634886213,left,0.474864989519119,0.474363297224045,-0.000501692295074463,-0.105649459561656,right
